,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,1745195,661468,1456086,360996,283661,1674050,1235670,951218,1556044,1513346,1417784,1585804
1990/91,691947,547246,357140,200053,485842,1014543,1569231,1306682,1836340,2423555,3401987,1581999
1991/92,4778394,1919669,1279512,652111,1313834,1741481,2009904,2483012,2460709,2676242,2422134,2453302
1992/93,2244926,3467803,1210126,676419,594740,565914,465468,750665,647058,466275,705239,1088029
1993/94,1133778,1104042,1868049,1919584,3967198,5938312,9837875,6456668,8094533,9551417,13538721,11965255
1994/95,11489435,7525252,6529861,3659185,4521814,6519408,5006149,6399255,3223743,3969690,6406988,5046948
1995/96,5021124,5391808,2496051,1953787,2723299,4657465,5174857,2380570,1864630,2984501,4553213,5982296
1996/97,5013088,2741956,2462081,866382,2966957,5492777,3844583,2171508,2872707,2888518,3239744,6267310
1997/98,5421915,4462620,3765455,1839178,2414100,4418445,4433205,1764816,2367004,4148083,3438174,5729751
1998/99,4663131,2456172,1109856,1455616,3446527,3162955,3182545,1707699,2168197,3319653,4208988,3142240
1999/00,2353075,2456160,2216976,952440,2806061,3089657,5948183,2962254,2182847,3832631,2911426,3492325
Jan-00,3446917,4517380,2412383,1732135,2002292,2908440,3717011,3450852,2611577,3704082,3549785,4197849
Feb-01,4736125,3266542,2537921,2241931,2540591,2491810,3534058,2223296,2164200,2554069,3262110,2163789
Mar-02,3115942,3607589,4921013,2446278,1873488,1826439,4346720,2650789,3860520,1700021,1813920,1564084
Apr-03,3594590,1194392,1003263,2510062,2291351,1842039,3037282,1994814,3902704,3125950,3265622,3925477
May-04,3410849,3637725,2249183,2778361,2169528,1517847,1297129,1099946,1302825,1247190,1984048,1438730
Jun-05,2063139,1523384,1601249,1252080,1272535,1036859,1217506,1275912,1441996,1874388,1947864,2072638
Jul-06,1760970,1659673,1677889,2149795,2218719,2259748,2890151,2755720,2235841,2870565,3228942,3723312
Aug-07,3835902,3912385,2350863,4127518,4072811,4568292,5685778,5233094,3760240,5377152,5462459,5895270
Sep-08,4640221,4017720,3711490,5492208,4501283,4875724,4307640,4547008,3689511,3798515,4169467,4002147
Oct-09,4240439,3683938,3991100,3040252,3865974,2180567,2461739,2348477,2408104,2543217,3620402,3277095
Nov-10,3576166,3598964,2834637,2716538,2690727,2396635,2145565,2206135,1650717,2424836,2504163,2577734
Dec-11,2248001,2162784,2237139,2931944,3398314,3333866,3285238,3711274,4547705,4443383,2802697,3977340
2012/13,3921258,3541349,3642821,3926962,4057204,3934572,3802139,4078370,3127864,4140005,4386913,3258550
2013/14,2274673,2779027,2385649,3291350,3813445,3066410,2950653,3332936,3668299,4232694,5648025,4871287
2014/15,5112084,5733754,3631878,4022828,3859638,3267011,3992541,5268677,3381745,4736224,4185881,3415478
2015/16,4075308,3622551,3276465,3185246,3770888,3887291,4903083,4288754,4538584,4315639,3229546,2943404
