,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,980602,1553551,1585306,1042725,1318023,1093249,1358701,1152223,1592669,1341284,1363650,1120191
1990/91,1002446,1371470,2122513,1051233,1207722,1071258,1158332,1268015,1500610,1138350,1593987,2041696
1991/92,2163449,3563856,4108674,2446193,2645106,2897983,3481281,3425897,2466425,2779462,2579972,1889594
1992/93,1661211,1569391,1931736,1921947,1528760,1294573,2096118,2131049,2071384,1937488,2258843,2567615
1993/94,2065962,2344854,4840904,4786542,3319609,3835529,4544382,2998735,2500519,1818338,1434811,1450399
1994/95,1451530,1571225,2178435,2217829,2242698,1860745,2144726,1976727,1416220,1076144,921488,1305303
1995/96,1361794,2429608,2891309,2718090,2666602,2855481,3465421,2682003,2282383,1935752,1821328,2230136
1996/97,2837568,2088304,2779111,1847025,1638181,1988369,2429735,2892361,2071710,2566009,2257273,2532536
1997/98,2778195,1611117,1715233,1538734,1578634,1427222,2241053,3435535,1899153,1886322,2094867,1912149
1998/99,1953697,2410656,3262458,2695695,3097573,3225105,5150915,3880513,1916752,1777206,1876950,1935744
1999/00,1870952,2654754,2670185,2567482,1928580,2712739,3556678,3514175,2409249,2367552,2177522,1739384
Jan-00,1413418,1765919,1835769,1540100,1848527,1638219,2829375,2807630,1955359,1983294,1948470,2271877
Feb-01,1762246,2890946,2260317,2001889,2186799,1899140,2801521,3698128,2565971,2292121,2400433,1737322
Mar-02,1853987,3003582,3486202,2821317,3033666,3280383,3704550,4411905,2730457,2308156,2295449,2383498
Apr-03,2406606,2759321,2946641,2461398,3400410,2843229,3770645,5401064,2941572,3282087,2940674,3106492
May-04,2753225,2564378,2674390,2737772,2584036,2606428,3368648,3752647,2910492,2832080,2512547,3989246
Jun-05,2915931,2952907,2651986,2614381,2465541,2240944,4174667,3648334,2524378,2677666,2306837,2710193
Jul-06,2139471,2403110,2293261,2528341,2551770,2507056,4649138,4677733,2965200,3268259,3736742,3269276
Aug-07,2813409,2991712,2856826,2790427,3267901,3333467,5965169,5750154,4933409,4804914,4642760,3539622
Sep-08,2971688,3404550,3829995,3483220,3993378,3215121,4600666,4167488,2636376,2720264,2534915,2426320
Oct-09,2331854,2184955,2133171,2265102,2526251,2466534,3426853,3726202,2890911,3171679,3039397,3711670
Nov-10,3585497,3324482,4903557,4622265,4955381,5041958,6361159,6913853,4319232,4216613,2684652,3568318
Dec-11,2564203,3288223,4521132,3592542,3538871,3576891,6149128,6236423,5651780,5696960,5585189,6770291
2012/13,3467872,16002954,22693378,16789869,18430232,17568873,12798327,19267274,16571453,20664878,13503773,14141613
2013/14,11674450,4757318,5246124,3904715,5333703,5470129,6160781,6104972,5586238,4847384,4955477,4482941
2014/15,5131490,4466828,4045817,5088953,4544861,4972455,6202398,6088217,7505200,7351685,6716205,7482771
2015/16,5330256,5295932,11293308,10367178,10225312,7137629,11385643,9898010,8009333,10604497,6402780,9416099
