,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,134619,154363,185406,245862,183582,103742,83079,93083,65525,102001,110947,63663
1990/91,1570662,85623,110455,169601,128694,114089,72260,123333,87282,2293189,183233,136823
1991/92,121591,149437,99641,170240,202510,177374,242721,371445,202737,651232,813441,523435
1992/93,451272,437796,658652,902051,1127925,621799,455869,512386,814240,514950,925617,460022
1993/94,767269,527025,681113,508061,523511,215654,324143,400291,264103,374054,244063,224003
1994/95,198389,269293,154642,262535,193930,236012,264234,306639,114150,817623,381637,182654
1995/96,370138,312824,438680,388532,318543,402757,360738,217076,221417,307903,306062,491427
1996/97,529337,473245,341467,420775,585876,235886,243538,613354,243289,222816,187377,277138
1997/98,786705,303988,281852,413425,430438,389267,302271,228246,364308,405381,376727,396688
1998/99,425479,420758,528025,312041,265668,341387,432616,349966,406965,370269,189279,260522
1999/00,394297,448531,765279,383198,394627,229280,137121,141945,249466,453578,322020,243906
Jan-00,287284,272229,188687,242709,918550,630820,341650,484281,383810,1476304,420597,793902
Feb-01,334846,422614,1088163,530718,993245,423229,426204,396736,405889,320244,346344,312291
Mar-02,572090,272078,359618,548047,521291,388095,585888,488306,494645,436201,391029,479670
Apr-03,340697,381251,430888,604558,613637,518895,455251,506054,434755,411107,415993,257169
May-04,403486,427163,527713,780840,683263,523388,603162,353789,634652,402721,428429,278479
Jun-05,364804,242923,425707,691082,365268,375820,427021,438462,554369,557776,247781,267307
Jul-06,499785,265315,676742,516970,286356,343856,259126,314796,329533,419178,359688,254322
Aug-07,348989,208957,370951,629880,447021,393136,361204,577938,441699,532832,370155,452287
Sep-08,416349,584148,490183,671830,297105,450255,473233,432711,479549,262124,297814,441738
Oct-09,357142,391103,619870,606365,707806,691182,455685,534546,296363,399834,405067,539316
Nov-10,286467,437519,624279,607385,377309,343472,285554,402660,345193,497126,293246,271685
Dec-11,353617,522293,399765,498069,485615,440591,316706,258394,353843,294419,284100,226626
2012/13,437196,495308,461886,235309,162988,189116,201210,336014,294892,374624,400398,303391
2013/14,319204,428421,447489,440675,575762,467912,332060,351093,308084,417970,280439,409243
2014/15,370943,482811,517230,532606,344988,272502,185581,293040,611611,459371,382073,340075
2015/16,268378,326650,306041,504629,385963,327340,314143,270188,325909,472792,425076,456355
