,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,3791155,6730677,7823880,6236194,4779170,7452067,6720624,5106850,4343569,4076976,8475874,3416974
1990/91,6766369,5908451,5090611,2358047,4636239,5078808,6118040,2642746,9822449,4763254,3887601,7719294
1991/92,5844622,7240484,8871528,5041886,9219462,3325064,4411775,6120696,7525443,6729380,8894410,2788631
1992/93,7515000,4197542,3898321,2632483,4104556,5733071,5359648,2875420,3107494,2238823,7939956,7818451
1993/94,8329893,5471101,3724005,9728511,11783389,14705412,15521516,8656598,8229651,6258538,7298970,11339625
1994/95,9149458,6673769,6514150,11109632,12425795,12380144,11099411,10240009,3084892,5348317,5712256,5964851
1995/96,13506826,9646447,5710224,7673428,10846347,8678689,6787399,5945439,6155056,4155186,3271869,3574132
1996/97,2489033,2974689,2732630,12350091,16207635,12401558,12676456,8306127,8834004,9214570,9675744,7508239
1997/98,6842971,7651073,6388755,16076372,13355203,10866969,13837348,7088271,7243310,7328696,6336925,3442964
1998/99,8408843,7346542,14060495,22242348,9486139,6771061,10237393,7203967,7077610,5375481,9157459,9558920
1999/00,8400530,6258044,9404822,15004266,9365964,12365288,7731249,9180096,7874546,6364904,8267889,7610418
Jan-00,4001856,8560432,10687164,16011715,14024218,9968210,7639754,16019011,7664188,7038511,6244014,9907864
Feb-01,4453658,10734246,5958369,20358779,17893049,14441351,7728243,9421625,5135459,6254923,3210679,6446939
Mar-02,6352944,2997466,8302097,15615137,18516575,11035633,7911791,12413942,7202534,6485598,9567956,6325051
Apr-03,5685245,5907743,14070973,15951605,10843279,6324098,8417699,8150852,8131099,9168017,8478542,6951007
May-04,4531944,8943996,7703607,6665946,12209886,13014736,8372915,11218646,11739640,10653135,10089176,6205125
Jun-05,10299902,8137944,7665310,7119818,11384983,9810661,16487637,10068112,7583585,10405418,10383429,6045361
Jul-06,6862803,9260878,17846214,14994334,12667684,13322771,10428613,9429817,7219485,11175080,9690485,8204412
Aug-07,5353030,7681328,13664906,19574691,16812318,12285573,12092420,11569239,9781550,9274779,17889833,11353403
Sep-08,12369610,11916533,14252120,15519812,15209033,11232915,10420470,9922571,8781106,9278321,11114344,9378458
Oct-09,9867699,11471802,12181039,9594209,10924714,8193629,10914051,10191985,10221957,13011192,6402689,8418766
Nov-10,9439262,10441436,11006320,10911568,11524262,8606606,9151331,8446354,8831533,8286642,9186866,7773930
Dec-11,6945082,6408908,11359068,17556538,14302749,11952117,11467388,10653513,9464331,7843865,8014693,7255124
2012/13,8151409,10067252,18388989,12383865,11528666,10448169,8170838,8637862,7820856,8970295,10282191,8198015
2013/14,5394933,10179786,9008908,9044499,13937834,12475171,11828497,8112066,7262416,11764280,15282810,14303757
2014/15,11885042,14022965,9619203,10881453,12589541,9680187,15668009,14452693,9996691,14001105,11406586,7650906
2015/16,10016944,7955739,9846482,13338585,10728419,11079739,12258100,13514989,7971389,9784995,7416581,7201596
