Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
-8.1676e+09,-1.069e+10,-9.9843e+09,-9.2741e+09,-5.3539e+09,-5.3961e+09,-1.0571e+10,-6.9995e+09,-7.0827e+09,-5.0226e+09,-9.8111e+09,-9.0849e+09
-1.1513e+10,-1.0087e+10,-1.0539e+10,-3.0873e+09,-1.467e+10,-9.3854e+09,-1.3432e+10,-5.9958e+09,-1.5063e+09,-2.9423e+09,-1.0798e+09,-3.7381e+09
-1.3239e+09,-6.4832e+09,-8.1061e+09,-9.5073e+09,-1.3775e+10,-1.5447e+10,-8.2327e+09,-1.178e+10,-5.6958e+09,-2.1279e+09,-1.2747e+10,-7.5438e+09
-7.5691e+09,-5.6664e+09,-7.7678e+09,-5.9673e+09,-7.5804e+09,-1.0406e+10,-9.1616e+09,-4.6447e+09,-1.0362e+10,-7.3243e+09,-8.8504e+09,-6.9339e+09
-5.7711e+09,-5.8089e+09,-7.0325e+09,-3.7737e+09,-7.2752e+09,-6.412e+09,-8.2036e+09,-8.6782e+08,-3.7782e+09,-3.0159e+09,-1.3057e+10,-1.0402e+10
-2.1475e+09,-1.2817e+10,-7.582e+09,-5.1044e+09,-5.8827e+09,-1.0183e+10,-6.9347e+09,-3.291e+09,-2.4047e+09,-9.3486e+09,-2.6503e+09,-7.7398e+09
-5.2309e+09,-6.0112e+09,-7.8125e+09,-5.4221e+09,-6.0218e+09,-2.4165e+09,-9.7326e+09,-1.0607e+10,-2.4788e+09,-8.6337e+09,-3.9846e+09,-5.5064e+09
-3.7344e+09,-1.9082e+09,-4.1743e+09,-6.215e+09,-4.7574e+09,-2.5585e+09,-3.2162e+09,-2.1949e+09,-4.3515e+09,-2.7463e+09,-2.7981e+09,-2.6499e+09
-8.5121e+09,-7.9079e+09,-1.0655e+10,-1.4554e+10,-1.775e+10,-7.8571e+09,-3.7269e+09,-2.0823e+09,-3.4587e+09,-4.3686e+09,-2.3368e+09,-1.1814e+09
-2.1216e+09,-3.1553e+09,-5.2808e+09,-6.37e+09,-2.0048e+09,-2.8715e+09,-1.7225e+09,-3.3453e+09,-3.6833e+09,-3.0782e+09,-2.1535e+09,-3.0043e+09
-2.5636e+09,-1.3634e+09,-5.8924e+09,-2.9239e+09,-5.265e+09,-2.4078e+09,-2.9814e+09,-3.8139e+09,-2.622e+09,-2.0642e+09,-2.0104e+09,-2.4442e+09
-2.1345e+09,-3.3859e+09,-5.0831e+09,-1.2798e+10,-8.6754e+09,-5.5324e+09,-6.919e+09,-6.6554e+09,-4.2989e+09,-4.4974e+09,-2.3451e+09,-4.2499e+09
-4.0202e+09,-1.8912e+09,-6.9154e+09,-1.9139e+09,-4.3237e+09,-2.7574e+09,-2.5707e+09,-1.3842e+09,-2.5447e+09,-1.2715e+09,-1.4522e+09,-2.1391e+09
-3.5189e+09,-2.1219e+09,-2.8252e+09,-3.2042e+09,-1.8896e+09,-2.5212e+09,-2.7376e+09,-3.1382e+09,-3.1005e+09,-2.1557e+09,-4.7642e+09,-4.0399e+09
-1.1322e+09,-1.2402e+09,-2.9272e+09,-1.8637e+09,-5.5311e+09,-3.0839e+09,-4.112e+09,-7.8724e+08,-2.8745e+09,-7.3375e+08,-1.3455e+09,-7.5033e+08
-3.2261e+09,-1.2192e+09,-1.1718e+09,-1.6946e+09,-4.1514e+09,-3.0332e+09,-2.9078e+09,-4.9698e+09,-2.0228e+09,-2.7696e+09,-6.5002e+09,-4.6833e+09
-4.8419e+09,-5.3476e+09,-6.7577e+09,-7.6988e+09,-6.5161e+09,-2.162e+09,-1.3877e+09,-1.83e+09,-2.0954e+09,-2.2287e+09,-4.1867e+09,-2.7184e+09
-2.1093e+09,-1.9467e+09,-1.6312e+09,-3.2722e+09,-3.9598e+09,-4.9434e+09,-3.1506e+09,-5.3801e+09,-3.9399e+09,-2.993e+09,-2.5606e+09,-2.3371e+09
-3.0786e+09,-2.5536e+09,-3.3043e+09,-8.5076e+09,-1.1054e+10,-1.111e+10,-3.2696e+09,-7.301e+09,-5.8496e+09,-4.6758e+09,-6.9085e+09,-4.0962e+09
-3.8027e+09,-3.0004e+09,-4.2578e+09,-7.4661e+09,-4.2795e+09,-3.7756e+09,-3.0336e+09,-3.6698e+09,-2.4044e+09,-2.7303e+09,-2.1066e+09,-3.0262e+09
-3.2429e+09,-2.8313e+09,-2.822e+09,-2.3174e+09,-3.3011e+09,-2.6218e+09,-2.6381e+09,-2.6025e+09,-2.0369e+09,-2.246e+09,-2.4841e+09,-2.3869e+09
-2.1442e+09,-2.7311e+09,-2.3147e+09,-4.9247e+09,-2.6662e+09,-3.0348e+09,-2.206e+09,-1.7129e+09,-2.3364e+09,-2.8305e+09,-2.1068e+09,-2.5905e+09
-2.2453e+09,-3.2288e+09,-3.4154e+09,-4.1296e+09,-2.1502e+09,-1.6181e+09,-1.0578e+09,-1.5989e+09,-2.1591e+09,-2.3532e+09,-2.6797e+09,-3.243e+09
-2.7743e+09,-2.907e+09,-5.1546e+09,-3.8657e+09,-2.7396e+09,-1.9875e+09,-1.9417e+09,-1.8671e+09,-1.714e+09,-2.6683e+09,-2.4076e+09,-2.4591e+09
-2.2202e+09,-2.3345e+09,-4.2116e+09,-3.623e+09,-3.0971e+09,-2.5851e+09,-2.4087e+09,-4.7593e+09,-2.3509e+09,-2.8915e+09,-2.612e+09,-5.8606e+09
-3.0495e+09,-3.5489e+09,-3.3009e+09,-3.6565e+09,-2.9694e+09,-4.3349e+09,-2.1529e+09,-3.0947e+09,-3.5509e+09,-4.1708e+09,-2.8704e+09,-3.2125e+09
-3.2024e+09,-2.7228e+09,-3.3835e+09,-2.3181e+09,-3.0582e+09,-3.751e+09,-3.1729e+09,-2.484e+09,-2.8146e+09,-2.3723e+09,-2.037e+09,-1.9234e+09
