,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,6419.61,6650.85,4592.1,4730.31,4292.41,3755.9,5162.37,5090.93,4294.9,3571.36,3741.3,4250.83
1990/91,3052.04,3376.73,2847.35,2358.86,5377.86,6024.12,4899.14,4166.1,5543.94,4057.13,7263.39,4297.7
1991/92,2507.35,3013.73,4536.49,4648.4,102792.45,136597.11,126953.25,145065.5,107594.11,150643.03,149243.05,137682.8
1992/93,156440.68,142209.37,196891.68,175239.77,155732.81,138420.9,138816.51,156303.95,124814.97,114691.18,94195.65,101522.45
1993/94,142259.91,154839,149015.25,145785.19,104364.61,89151.62,115156.39,89119.42,76305.36,90452.55,96862.75,116641.78
1994/95,118957.67,143511.9,197133.88,210439.03,193353.54,195264.28,198979.84,168075.4,211179.83,172184.83,195945.75,213481.85
1995/96,253447.33,212521.18,203781.87,188386.71,217850.3,166550.21,218334.15,203419.8,201642.27,141718.67,152729.25,115195.39
1996/97,105797.86,151574.75,246171.12,193640.74,188058.93,157595.77,171614.84,148706.58,129471.44,117929.01,103385.42,147952.86
1997/98,148235.49,121728.39,125751.84,145798.65,122306.43,124273.85,136391.23,111563.78,119040.78,134619.8,134837.47,143329.48
1998/99,130569.92,162823.18,174214.21,195279.3,134159.98,150658.54,179136.6,179238.16,156409.93,204248.21,194307.26,189313.35
1999/00,196598.93,186452.64,168342.76,170551.37,161437.15,148824.91,160387.34,158958.12,149830.48,149529.7,159816.86,194225.18
Jan-00,207501.11,164176.04,151636.57,145357.31,134821.12,149571.82,181085.43,169437.37,120046.51,160099.35,189237.89,232606.13
Feb-01,168497.5,151980.95,148013.41,151525.16,153489.75,167221.25,184639.55,166473.32,171276.59,179543.25,183227.11,180574.62
Mar-02,134629.79,138593.22,153087.96,170877.7,141684.1,117925.31,148281,144464.7,144259.5,158674.73,153318.16,143756.93
Apr-03,161296.18,170472.56,180043.12,201466.73,174941.06,166439.31,188005.54,148831.59,173980.32,153169.22,179499.25,167756.72
May-04,179911.73,166693.38,187254.42,192412.52,164106.79,130392.21,158543.02,158383.23,164832.59,180083.77,172088.59,167441.53
Jun-05,146926.97,203185.54,172004.66,193678.07,181079.28,154498.15,203073.57,192441.15,237221.69,229478.66,224267.54,253380.91
Jul-06,231079.03,210775.38,217584.11,197731.4,191324.2,191413.87,194449.26,180053.15,187358.99,199142,189232.97,213650.78
Aug-07,236583.56,240730.38,272120.15,217015.49,239189.82,224230.91,226589.35,205831.53,183228.23,190670.96,173994.54,187679.64
Sep-08,177063.58,149391.86,152924.21,137082.99,133213.39,127897.89,177222.9,173323.45,171091.38,155733.48,211895.09,199251.09
Oct-09,207997.86,151148.69,143440.99,145178.84,156387.77,153745.45,205717.63,177165.51,208625.89,187595.72,201576.05,199588.15
Nov-10,191278.55,150913.92,156824.88,173044.26,124568.96,143935.14,190211.45,187730.3,182061.11,165260.64,180548.65,169323.16
Dec-11,138381.37,139632.12,175595.45,187094.17,152673.14,145194.71,149351.8,151766.33,143946.2,131899.78,111550.93,96688.4
2012/13,107509.03,86512.45,75197.77,67673.12,66971.17,65718.05,88309.31,69955.56,68177.9,58486.24,73976.18,70741.7
2013/14,94364.75,141867.04,151421.88,149818.99,127953.46,146730.94,214898.78,243496.47,217883.02,201651.53,192895.38,190771.6
2014/15,167737.7,164369.73,107697.27,130535.09,139485.62,164185.78,169593.76,204488.33,203133.74,181169.82,210738.22,171043.33
2015/16,144168.34,103096.45,84661.38,114471.93,115804.9,141295.77,185165.54,212149.53,200418.58,253742.53,244013.37,234624.27
