Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
-1.3083e+08,-1.4763e+08,-1.7758e+08,-2.3963e+08,-1.788e+08,-9.629e+07,-7.6358e+07,-8.7976e+07,-6.1181e+07,-9.7924e+07,-1.0247e+08,-6.0246e+07
-1.5639e+09,-7.9715e+07,-1.0536e+08,-1.6724e+08,-1.2406e+08,-1.0901e+08,-6.6142e+07,-1.2069e+08,-7.746e+07,-2.2884e+09,-1.7935e+08,-1.291e+08
-1.1575e+08,-1.422e+08,-9.0769e+07,-1.652e+08,-1.9329e+08,-1.7405e+08,-2.3831e+08,-3.6532e+08,-1.9521e+08,-6.445e+08,-8.0455e+08,-5.2065e+08
-4.4376e+08,-4.336e+08,-6.5475e+08,-8.9942e+08,-1.1238e+09,-6.1607e+08,-4.5051e+08,-5.0951e+08,-8.1113e+08,-5.1271e+08,-9.1768e+08,-4.522e+08
-7.5894e+08,-5.2155e+08,-6.7739e+08,-4.9833e+08,-5.1173e+08,-2.0095e+08,-3.0862e+08,-3.9163e+08,-2.5587e+08,-3.678e+08,-2.3676e+08,-2.1266e+08
-1.8924e+08,-2.6262e+08,-1.4813e+08,-2.5143e+08,-1.815e+08,-2.2363e+08,-2.5313e+08,-2.964e+08,-1.1107e+08,-8.1227e+08,-3.7592e+08,-1.7669e+08
-3.5663e+08,-3.0318e+08,-4.3297e+08,-3.8086e+08,-3.077e+08,-3.9408e+08,-3.5395e+08,-2.1113e+08,-2.1526e+08,-3.0375e+08,-3.0279e+08,-4.8785e+08
-5.2685e+08,-4.7027e+08,-3.3873e+08,-4.0842e+08,-5.6967e+08,-2.2348e+08,-2.3086e+08,-6.0505e+08,-2.3445e+08,-2.136e+08,-1.777e+08,-2.6963e+08
-7.7986e+08,-2.9634e+08,-2.7546e+08,-3.9735e+08,-4.1708e+08,-3.784e+08,-2.8843e+08,-2.2116e+08,-3.5706e+08,-3.9805e+08,-3.7039e+08,-3.9325e+08
-4.1707e+08,-4.1341e+08,-5.1396e+08,-2.898e+08,-2.5618e+08,-3.3462e+08,-4.2238e+08,-3.4276e+08,-3.9989e+08,-3.6489e+08,-1.8012e+08,-2.5096e+08
-3.859e+08,-4.4227e+08,-7.5587e+08,-3.6819e+08,-3.8526e+08,-2.1691e+08,-1.2939e+08,-1.3276e+08,-2.4159e+08,-4.4721e+08,-3.1375e+08,-2.363e+08
-2.8328e+08,-2.6367e+08,-1.78e+08,-2.267e+08,-9.0453e+08,-6.2085e+08,-3.3401e+08,-4.6826e+08,-3.7615e+08,-1.4693e+09,-4.1435e+08,-7.8399e+08
-3.3039e+08,-4.1188e+08,-1.0822e+09,-5.1036e+08,-9.7535e+08,-4.0879e+08,-4.1848e+08,-3.8731e+08,-4.0075e+08,-3.1399e+08,-3.4313e+08,-3.0584e+08
-5.6574e+08,-2.6908e+08,-3.5132e+08,-5.3243e+08,-5.0277e+08,-3.7706e+08,-5.7798e+08,-4.7589e+08,-4.8744e+08,-4.2972e+08,-3.8146e+08,-4.7334e+08
-3.3501e+08,-3.7534e+08,-4.1682e+08,-5.8861e+08,-6.0279e+08,-5.1257e+08,-4.4683e+08,-4.979e+08,-4.2662e+08,-4.0194e+08,-4.0751e+08,-2.5022e+08
-3.9895e+08,-4.1822e+08,-5.2001e+08,-7.7417e+08,-6.7105e+08,-5.1037e+08,-5.9479e+08,-3.4257e+08,-6.2291e+08,-3.9207e+08,-4.1834e+08,-2.7227e+08
-3.545e+08,-2.3479e+08,-4.1804e+08,-6.8396e+08,-3.5388e+08,-3.6601e+08,-4.1053e+08,-4.2839e+08,-5.4679e+08,-5.4737e+08,-2.374e+08,-2.6126e+08
-4.9292e+08,-2.5605e+08,-6.589e+08,-5.0198e+08,-2.7369e+08,-3.3053e+08,-2.487e+08,-3.0537e+08,-3.2231e+08,-4.08e+08,-3.5e+08,-2.4612e+08
-3.4364e+08,-2.0128e+08,-3.5729e+08,-6.1031e+08,-4.3021e+08,-3.8085e+08,-3.4911e+08,-5.6637e+08,-4.3192e+08,-5.2356e+08,-3.5227e+08,-4.4093e+08
-4.0398e+08,-5.7223e+08,-4.7593e+08,-6.5631e+08,-2.819e+08,-4.3902e+08,-4.6281e+08,-4.2279e+08,-4.7077e+08,-2.5285e+08,-2.867e+08,-4.3236e+08
-3.4727e+08,-3.7963e+08,-6.0769e+08,-5.9677e+08,-6.9688e+08,-6.8299e+08,-4.4477e+08,-5.2435e+08,-2.8614e+08,-3.8682e+08,-3.9866e+08,-5.309e+08
-2.7703e+08,-4.2708e+08,-6.1327e+08,-5.9647e+08,-3.6578e+08,-3.3487e+08,-2.764e+08,-3.9421e+08,-3.3636e+08,-4.8884e+08,-2.8406e+08,-2.6391e+08
-3.4667e+08,-5.1588e+08,-3.8841e+08,-4.8051e+08,-4.7131e+08,-4.2864e+08,-3.0524e+08,-2.4774e+08,-3.4438e+08,-2.8658e+08,-2.7609e+08,-2.1937e+08
-4.2904e+08,-4.8524e+08,-4.435e+08,-2.2293e+08,-1.5146e+08,-1.7867e+08,-1.9304e+08,-3.2738e+08,-2.8707e+08,-3.6565e+08,-3.9012e+08,-2.9519e+08
-3.1381e+08,-4.1824e+08,-4.3848e+08,-4.3163e+08,-5.6182e+08,-4.5544e+08,-3.2023e+08,-3.4298e+08,-3.0082e+08,-4.0621e+08,-2.6516e+08,-3.9494e+08
-3.5906e+08,-4.6879e+08,-5.0761e+08,-5.2172e+08,-3.324e+08,-2.6282e+08,-1.6991e+08,-2.7859e+08,-6.0161e+08,-4.4537e+08,-3.7067e+08,-3.3242e+08
-2.5836e+08,-3.1869e+08,-2.9619e+08,-4.9129e+08,-3.7523e+08,-3.1626e+08,-3.0188e+08,-2.5667e+08,-3.1794e+08,-4.6301e+08,-4.1766e+08,-4.4915e+08
