,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,37711,33729,22409,19613,33379,28182,31489,27545,22232,12502,14518,23761
1990/91,18213,17700,20675,17623,16917,26675,29897,30389,16533,4063,14563,19555
1991/92,14661,16460,15121,30158,35198,42851,34571,45426,25007,8305,9326,14349
1992/93,23555,19464,13422,33459,33279,34737,32915,35484,18924,4940,12042,14879
1993/94,14698,13646,10905,17376,19591,23447,27259,19398,17018,9361,12841,16029
1994/95,22504,20518,21059,22149,20796,17984,18124,13637,22593,14943,12046,16339
1995/96,24208,15884,13623,29005,22635,15128,17206,10716,8238,9329,15786,16065
1996/97,15703,18245,22207,19908,23212,15849,24726,21515,14765,6621,7370,15252
1997/98,17638,15058,16747,23319,24328,35550,23905,14990,16236,7512,8957,7843
1998/99,10808,12641,17077,16806,19819,27048,20761,15030,15598,10060,16449,14594
1999/00,22506,19441,22928,26545,25344,24972,25915,18743,19076,10712,17302,21777
Jan-00,20513,17878,24322,18600,24857,25377,21397,17937,24017,16789,10343,14552
Feb-01,18147,20874,24461,24939,28397,24941,19166,18106,15658,10891,16938,19298
Mar-02,17855,19412,13620,15292,17972,12259,12852,14406,12990,11528,14498,21614
Apr-03,25543,19680,15553,18149,19892,17863,20202,16386,9917,8868,11846,14875
May-04,17500,14015,12430,14973,19127,21184,19191,15026,17001,10867,14138,8591
Jun-05,12225,17761,10007,18139,18373,20838,23004,22100,17669,12829,10093,11274
Jul-06,13233,10386,12798,17264,11521,14079,11175,11711,12345,9806,9722,18549
Aug-07,33061,32601,28040,30087,33550,27350,24020,15793,17907,7477,10038,16817
Sep-08,18664,16045,9449,10894,11707,9574,13937,11827,9470,9554,10208,11660
Oct-09,17318,8205,20706,13154,13694,16318,14166,15772,17003,6830,7987,12979
Nov-10,11923,10779,13212,10070,9747,5769,20427,14672,16074,14138,11294,13449
Dec-11,10883,6754,4473,5953,3503,2308,4136,2682,906,1392,6563,13857
2012/13,8435,11269,7638,5550,6871,6726,6711,3516,3358,2137,5759,8326
2013/14,16230,9494,7664,6258,16908,15983,22188,31859,17008,3239,29617,34534
2014/15,30200,28395,25048,30098,31749,36846,40635,36963,21534,7327,28497,34457
2015/16,43348,31249,39838,33121,30024,23187,34333,28353,10788,18184,26666,19495
