,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1989/90,0,0,0,0,0,0,74979,826,42236,23864,75398,8410
1990/91,5551,0,60,0,0,0,60462,167,12,0,679,1319
1991/92,0,0,0,118,0,0,393,0,225,4565,1567,394
1992/93,0,0,0,0,0,4650,0,148,876,6736,0,0
1993/94,0,0,0,2859,14,3819,0,0,94,866,118,0
1994/95,0,0,0,0,0,0,186,3211,964,0,2568,433
1995/96,591,0,0,0,0,289,387,10329,50,54,0,2605
1996/97,0,0,179,3476,0,865,776,14477,10156,1748,1824,709
1997/98,0,395,0,709,683,229,28,840,4723,3061,0,0
1998/99,0,6850,2756,1294,0,0,0,937,0,779,709,0
1999/00,0,1125,1688,0,0,0,0,0,350,0,0,0
Jan-00,0,0,0,0,0,0,0,1909,0,0,0,0
1-Feb,0,0,0,0,0,0,0,0,0,95,87,0
2-Mar,0,26,0,21,0,0,21846,0,76,213,0,250
3-Apr,786,0,12,0,0,0,0,49,0,0,0,0
4-May,0,496,0,0,829,0,14737,6955,53,1188,0,787
5-Jun,0,0,0,0,107,787,1417,0,0,0,0,0
6-Jul,168,0,0,68,354,35390,0,16,0,0,571,39165
7-Aug,10968,7874,4625,0,898,0,3367,2073,180,685,118,7874
8-Sep,12590,15747,83786,15747,3937,169,0,438,14,0,0,0
9-Oct,0,0,0,865,0,3817,79,56,433,13,0,129
10-Nov,179,7583,0,0,18662,1031,1385,59,250,0,0,567
11-Dec,71,670,143,11960,9755,25762,16712,7704,26794,4799,247,772
2012/13,2078,1082687,2777,806,7717,49351,1084410,1625899,2810863,1615920,1289446,586
2013/14,1567,4630,0,0,5440,3822,144,4284,1480,20839,25463,22005
2014/15,44810,76214,92776,110137,5164,3197,1302,374,2056,38503,1437,0
2015/16,723195,1051571,1825720,970343,1679,4699,1027,483,3835,2981,1518,357
