Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
6.4241e+06,1.0029e+07,8.5297e+06,8.9135e+06,5.0705e+06,3.7237e+06,9.3363e+06,6.0492e+06,5.5282e+06,3.5107e+06,8.3947e+06,7.5007e+06
1.0822e+07,9.5399e+06,1.0182e+07,2.8875e+06,1.4185e+07,8.3719e+06,1.1865e+07,4.6905e+06,-3.2823e+05,5.2112e+05,-2.3188e+06,2.1577e+06
-3.4497e+06,4.5655e+06,6.8278e+06,8.8558e+06,1.2463e+07,1.3707e+07,6.2248e+06,9.2993e+06,3.2375e+06,-5.4563e+05,1.0327e+07,5.0929e+06
5.3264e+06,2.2021e+06,6.5589e+06,5.2916e+06,6.9863e+06,9.8407e+06,8.6966e+06,3.8948e+06,9.7153e+06,6.8585e+06,8.1458e+06,5.847e+06
4.6385e+06,4.706e+06,5.1663e+06,1.856e+06,3.3119e+06,4.7964e+05,-1.6245e+06,-5.5824e+06,-4.3082e+06,-6.5259e+06,-4.6855e+05,-1.5514e+06
-9.3305e+06,5.2993e+06,1.0586e+06,1.4489e+06,1.3654e+06,3.6706e+06,1.9336e+06,-3.1019e+06,-8.1582e+05,5.3829e+06,-3.7502e+06,2.6979e+06
2.1481e+05,6.2483e+05,5.3189e+06,3.4703e+06,3.3012e+06,-2.2363e+06,4.5629e+06,8.2285e+06,6.1608e+05,5.6521e+06,-5.6408e+05,-4.6994e+05
-1.2737e+06,-8.3099e+05,1.7147e+06,5.3495e+06,1.7934e+06,-2.9288e+06,-6.2452e+05,25599,1.4817e+06,-1.3935e+05,-4.384e+05,-3.6111e+06
3.0956e+06,3.4498e+06,6.8937e+06,1.2717e+07,1.5339e+07,3.4431e+06,-7.019e+05,3.1925e+05,1.0941e+06,2.247e+05,-1.0979e+06,-4.5426e+06
-2.5369e+06,7.0154e+05,4.1721e+06,4.9159e+06,-1.4382e+06,-2.8829e+05,-1.4569e+06,1.6393e+06,1.5173e+06,-2.3817e+05,-2.0513e+06,-1.3476e+05
2.129e+05,-1.0903e+06,3.6776e+06,1.9724e+06,2.4617e+06,-6.7878e+05,-2.9608e+06,8.5458e+05,4.4129e+05,-1.7646e+06,-8.9813e+05,-1.0447e+06
-1.3089e+06,-1.1269e+06,2.6731e+06,1.1067e+07,6.6751e+06,2.6269e+06,3.2057e+06,3.208e+06,1.6899e+06,7.9698e+05,-1.2011e+06,56205
-7.1117e+05,-1.3721e+06,4.38e+06,-3.2578e+05,1.7856e+06,2.681e+05,-9.5984e+05,-8.3684e+05,3.8266e+05,-1.28e+06,-1.8067e+06,-22564
4.0608e+05,-1.4821e+06,-2.0909e+06,7.6041e+05,17955,6.9654e+05,-1.6048e+06,4.9002e+05,-7.5613e+05,4.5742e+05,2.9521e+06,2.4773e+06
-2.4587e+06,46975,1.925e+06,-6.4387e+05,3.2421e+06,1.2437e+06,1.0777e+06,-1.2056e+06,-1.0243e+06,-2.3891e+06,-1.9168e+06,-3.1712e+06
-1.8136e+05,-2.4149e+06,-1.0751e+06,-1.081e+06,1.984e+06,1.5169e+06,1.6119e+06,3.871e+06,7.2131e+05,1.5237e+06,4.5181e+06,3.2460e+06
2.7808e+06,3.8257e+06,5.1581e+06,6.448e+06,5.2449e+06,1.1262e+06,1.7142e+05,5.5533e+05,6.5488e+05,3.562e+05,2.2408e+06,6.4782e+05
3.5012e+05,2.8874e+05,-45007,1.1246e+06,1.7433e+06,2.6859e+06,2.6338e+05,2.6272e+06,1.7063e+06,1.253e+05,-6.6509e+05,-1.3825e+06
-7.5346e+05,-1.3549e+06,9.5579e+05,4.3842e+06,6.9853e+06,6.546e+06,-2.4105e+06,2.0731e+06,2.0931e+06,-6.9592e+05,1.4515e+06,-1.7932e+06
-8.3287e+05,-1.0133e+06,5.5005e+05,1.9794e+06,-2.1723e+05,-1.0952e+06,-1.2698e+06,-8.727e+05,-1.2815e+06,-1.0644e+06,-2.0587e+06,-9.7194e+05
-9.9328e+05,-8.4890e+05,-1.1651e+06,-7.1978e+05,-5.6103e+05,4.4342e+05,1.7879e+05,2.5634e+05,-3.688e+05,-2.947e+05,-1.1327e+06,-8.8694e+05
-1.4284e+06,-8.6423e+05,-5.1708e+05,2.2109e+06,-21817,6.4052e+05,62563,-4.9102e+05,6.873e+05,4.0812e+05,-3.9482e+05,15332
-429,1.0682e+06,1.1805e+06,1.2006e+06,-1.2448e+06,-1.7125e+06,-2.2241e+06,-2.1086e+06,-2.384e+06,-2.0858e+06,-1.2022e+05,-7.3039e+05
-1.143e+06,-6.3083e+05,1.5154e+06,-57377,-1.3135e+06,-1.9431e+06,-1.8566e+06,-2.2072e+06,-1.4108e+06,-1.4676e+06,-1.975e+06,-7.9621e+05
-52176,-4.4177e+05,1.8284e+06,3.3494e+05,-7.1254e+05,-4.7821e+05,-5.3896e+05,1.4296e+06,-1.3137e+06,-1.337e+06,-3.0304e+06,9.9418e+05
-2.0574e+06,-2.1791e+06,-3.273e+05,-3.6227e+05,-8.8642e+05,1.0711e+06,-1.8357e+06,-2.1687e+06,1.7258e+05,-5.6067e+05,-1.3113e+06,-1.9953e+05
-8.6888e+05,-8.9608e+05,1.1034e+05,-8.6391e+05,-7.0892e+05,-1.3238e+05,-1.7253e+06,-1.8004e+06,-1.7195e+06,-1.939e+06,-1.1894e+06,-1.0171e+06
