Beginning_Stocks,Production,Imports,Total_supply,Food_alcohol_and_industrial_use,Seed_use,Feed_use,Domestic_disappearance,Exports,Total_disappearance,Ending_Stocks
92,379,12.6,484,131,15.7,186,333,22.8,355,128
128,383,8.61,520,137,18.2,174,329,64.79,394,126
126,428,6.44,561,139,16.8,177,332,55.5,388,173
173,455,6.71,635,154,13.6,215,382,24.65,406,228
228,383,7.17,618,158,13.9,202,373,52.82,426,192
192,361,5.87,559,162,15.9,168,346,75.66,422,137
137,474,6.88,618,158,15.9,198,372,98.38,470,148
148,516,8.35,672,157,17.2,237,411,44.17,455,217
217,508,5.05,730,155,19.5,278,452,88.82,541,189
189,598,7.42,795,153,21.4,301,476,71.66,547,247
247,590,6.25,844,157,21.3,319,497,19.71,517,327
327,609,6.67,942,154,17.9,300,473,133.62,606,336
336,521,11.3,869,155,15.7,256,427,120.98,548,321
321,290,10.51,622,156,15,175,346,79.33,425,196
196,404,13.08,614,161,13.5,190,364,88.96,453,161
161,422,13.48,596,160,14.6,207,381,79.88,461,135
135,464,24.52,624,160,12.8,229,401,94.55,496,129
129,455,11.41,595,160,12.9,191,364,80.29,444,151
151,398,71.48,621,160,11.9,244,416,66.06,482,139
139,375,65.86,580,161,11.1,228,401,66.24,467,113
113,359,40.72,513,148,11.72,191,351,62.4,413,100
100,392,36.77,529,160,11.07,218,389,30.82,419,109
109,360,40.25,510,156,10.41,149,316,74.38,390,119
119,352,29.81,501,155,8.49,167,330,28.53,359,142
142,272,27.67,441,152,9.64,140,302,28.17,330,111
111,318,29.22,458,151,8.2,136,294,57.78,352,106
106,248,23.92,379,147,8.21,104,260,26.41,286,92
92,227,18.46,337,146,8.74,84,238,30.26,268,69
69,278,20.63,368,147,7.44,74,229,18.79,248,120
120,280,12.12,412,151,6.4,103,261,23.25,284,128
128,212,5.37,346,157,5.72,48,210,27.81,238,108
108,180,12.1,300,155,6.57,49,211,20.26,231,69
69,210,29.23,308,162,7,30,199,41.42,240,68
68,239,29.03,336,163,5.88,66,234,13.21,248,89
89,227,16.6,332,159,5,47,211,5.66,216,115
115,180,9.49,305,154,4.79,50,208,7.58,216,89
89,155,16.26,260,149,6.03,37,192,8.85,200,60
60,219,23.29,302,141,5.79,66,213,8.86,222,80
80,217,18.75,316,148,5.15,66,219,14.27,234,82
82,182,23.57,287,146,5.65,43,194,14.3,209,79
79,218,18.51,315,147,5.15,50,202,10.8,213,102
102,199,20,321,147,6,60,213,10,223,98
