Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
-5.439e+06,-5.0973e+06,-3.0068e+06,-3.6876e+06,-2.9744e+06,-2.6627e+06,-3.8037e+06,-3.9387e+06,-2.7022e+06,-2.2301e+06,-2.3776e+06,-3.1306e+06
-2.0496e+06,-2.0053e+06,-7.2484e+05,-1.3076e+06,-4.1701e+06,-4.9529e+06,-3.7408e+06,-2.8981e+06,-4.0433e+06,-2.9188e+06,-5.6694e+06,-2.256e+06
-3.439e+05,5.5013e+05,-4.2782e+05,-2.2022e+06,-1.0015e+08,-1.337e+08,-1.2347e+08,-1.4164e+08,-1.0513e+08,-1.4786e+08,-1.4666e+08,-1.3579e+08
-1.5478e+08,-1.4064e+08,-1.9496e+08,-1.7332e+08,-1.542e+08,-1.3713e+08,-1.3672e+08,-1.5417e+08,-1.2274e+08,-1.1275e+08,-9.1937e+07,-9.8955e+07
-1.4019e+08,-1.5249e+08,-1.4417e+08,-1.41e+08,-1.0105e+08,-8.5316e+07,-1.1061e+08,-8.6121e+07,-7.3805e+07,-8.8634e+07,-9.5428e+07,-1.1519e+08
-1.1751e+08,-1.4194e+08,-1.9496e+08,-2.0822e+08,-1.9111e+08,-1.934e+08,-1.9684e+08,-1.661e+08,-2.0976e+08,-1.7111e+08,-1.9502e+08,-2.1218e+08
-2.5209e+08,-2.1009e+08,-2.0089e+08,-1.8567e+08,-2.1518e+08,-1.6369e+08,-2.1487e+08,-2.0074e+08,-1.9936e+08,-1.3978e+08,-1.5091e+08,-1.1297e+08
-1.0296e+08,-1.4949e+08,-2.4339e+08,-1.9179e+08,-1.8642e+08,-1.5561e+08,-1.6919e+08,-1.4581e+08,-1.274e+08,-1.1536e+08,-1.0113e+08,-1.4542e+08
-1.4546e+08,-1.2012e+08,-1.2404e+08,-1.4426e+08,-1.2073e+08,-1.2285e+08,-1.3415e+08,-1.0813e+08,-1.1714e+08,-1.3273e+08,-1.3274e+08,-1.4142e+08
-1.2862e+08,-1.6041e+08,-1.7095e+08,-1.9258e+08,-1.3106e+08,-1.4743e+08,-1.7399e+08,-1.7536e+08,-1.5449e+08,-2.0247e+08,-1.9243e+08,-1.8738e+08
-1.9473e+08,-1.838e+08,-1.6567e+08,-1.6798e+08,-1.5951e+08,-1.4611e+08,-1.5683e+08,-1.5544e+08,-1.4742e+08,-1.4716e+08,-1.5764e+08,-1.9249e+08
-2.0609e+08,-1.6241e+08,-1.498e+08,-1.4382e+08,-1.3297e+08,-1.4793e+08,-1.7826e+08,-1.6663e+08,-1.1809e+08,-1.5812e+08,-1.8729e+08,-2.3033e+08
-1.6674e+08,-1.4909e+08,-1.4575e+08,-1.4952e+08,-1.513e+08,-1.6532e+08,-1.8184e+08,-1.6278e+08,-1.6871e+08,-1.7725e+08,-1.8083e+08,-1.7884e+08
-1.3278e+08,-1.3559e+08,-1.496e+08,-1.6806e+08,-1.3865e+08,-1.1464e+08,-1.4458e+08,-1.4005e+08,-1.4153e+08,-1.5637e+08,-1.5102e+08,-1.4137e+08
-1.5889e+08,-1.6771e+08,-1.771e+08,-1.9901e+08,-1.7154e+08,-1.636e+08,-1.8423e+08,-1.4343e+08,-1.7104e+08,-1.4989e+08,-1.7656e+08,-1.6465e+08
-1.7716e+08,-1.6413e+08,-1.8458e+08,-1.8967e+08,-1.6152e+08,-1.2779e+08,-1.5517e+08,-1.5463e+08,-1.6192e+08,-1.7725e+08,-1.6958e+08,-1.6345e+08
-1.4401e+08,-2.0023e+08,-1.6935e+08,-1.9106e+08,-1.7861e+08,-1.5226e+08,-1.989e+08,-1.8879e+08,-2.347e+08,-2.268e+08,-2.2196e+08,-2.5067e+08
-2.2894e+08,-2.0837e+08,-2.1529e+08,-1.952e+08,-1.8877e+08,-1.8891e+08,-1.898e+08,-1.7538e+08,-1.8439e+08,-1.9587e+08,-1.855e+08,-2.1038e+08
-2.3377e+08,-2.3774e+08,-2.6926e+08,-2.1423e+08,-2.3592e+08,-2.209e+08,-2.2062e+08,-2.0008e+08,-1.7829e+08,-1.8587e+08,-1.6935e+08,-1.8414e+08
-1.7409e+08,-1.4599e+08,-1.4909e+08,-1.336e+08,-1.2922e+08,-1.2468e+08,-1.7262e+08,-1.6916e+08,-1.6846e+08,-1.5301e+08,-2.0936e+08,-1.9682e+08
-2.0567e+08,-1.4896e+08,-1.4131e+08,-1.4291e+08,-1.5386e+08,-1.5128e+08,-2.0229e+08,-1.7344e+08,-2.0573e+08,-1.8442e+08,-1.9854e+08,-1.9588e+08
-1.8769e+08,-1.4759e+08,-1.5192e+08,-1.6842e+08,-1.1961e+08,-1.3889e+08,-1.8385e+08,-1.8082e+08,-1.7774e+08,-1.6104e+08,-1.7786e+08,-1.6575e+08
-1.3582e+08,-1.3634e+08,-1.7107e+08,-1.835e+08,-1.4913e+08,-1.4162e+08,-1.432e+08,-1.4553e+08,-1.3829e+08,-1.262e+08,-1.0597e+08,-8.9918e+07
-1.0404e+08,-7.0509e+07,-5.2504e+07,-5.0883e+07,-4.8541e+07,-4.8149e+07,-7.5511e+07,-5.0688e+07,-5.1606e+07,-3.7821e+07,-6.0472e+07,-5.66e+07
-8.269e+07,-1.3711e+08,-1.4618e+08,-1.4591e+08,-1.2262e+08,-1.4126e+08,-2.0874e+08,-2.3739e+08,-2.123e+08,-1.968e+08,-1.8794e+08,-1.8629e+08
-1.6261e+08,-1.599e+08,-1.0365e+08,-1.2545e+08,-1.3494e+08,-1.5921e+08,-1.6339e+08,-1.984e+08,-1.9563e+08,-1.7382e+08,-2.0402e+08,-1.6356e+08
-1.3884e+08,-9.7801e+07,-7.3368e+07,-1.041e+08,-1.0558e+08,-1.3416e+08,-1.7378e+08,-2.0225e+08,-1.9241e+08,-2.4314e+08,-2.3761e+08,-2.2521e+08
