plantedAcreage,production,yield,price,barley,corn,oats,sorghum
0,730.81,24.3,0.66,0.75,30.02,7.94,0
0,793.91,24.7,0.78,1.06,32.12,8.18,0
0,919.59,26.2,0.62,1.06,35.12,8.9,0
0,782.08,21.8,0.73,1.24,35.83,9.56,0
0,1124.78,29.3,0.52,1.33,38.39,10.35,0
0,1141.72,27.2,0.46,1.35,42,11.06,0
0,1279.37,29.4,0.38,1.42,43.58,11.79,0
0,1008.33,22.9,0.48,1.47,44.08,12.01,0
0,1058.78,22.2,0.64,1.63,47.64,12.78,0
0,1450.28,27.7,0.42,1.7,52.45,13.62,0
0,1478.17,26.7,0.36,1.97,55.28,14.59,0
0,1515.86,25.8,0.36,1.96,58.8,14.82,0
0,1564.54,26.2,0.31,1.85,59.66,15.83,0
0,1751.98,28.2,0.36,1.93,62.23,15.96,0
0,1706.67,27.3,0.39,1.99,62.55,16.41,0
0,1244.8,19.8,0.63,2.2,63.03,16.92,0
0,1755.27,26.5,0.48,2.43,66.16,19.08,0
0,1652.15,24.2,0.42,2.47,68.17,20.62,0
0,1947.84,28.3,0.35,2.69,68.83,21.97,0
0,2057.81,28.6,0.32,2.86,71.85,23.35,0
0,1782.77,24.1,0.36,3.03,73.91,24.43,0
0,1604.55,21.9,0.43,3.26,73.3,26.27,0
0,2250.63,29.1,0.33,3.28,77.47,27.81,0
0,2294.29,29.5,0.28,3.35,77.66,28.7,0
0,1650.45,22.1,0.5,3.25,74.79,28.28,0
0,2335.8,29.6,0.4,3.59,78.86,27.76,0
0,1897.41,24.7,0.39,3.86,76.91,28.17,0
0,1900.4,23.8,0.36,3.69,79.83,29.27,0
0,1615.02,20.2,0.45,3.64,80.07,29.56,0
0,2534.76,28,0.25,4.19,90.48,30.91,0
0,2671.05,30,0.21,4.13,89.07,30.25,0
0,2287.63,25.4,0.26,4.12,89.97,28.83,0
0,2351.32,26.8,0.29,4.11,87.78,29.33,0
0,2645.8,28,0.3,4.47,94.59,29.25,0
0,2661.98,28.1,0.35,4.7,94.85,31.05,0
0,1715.75,18.2,0.6,4.96,94.42,30.89,0
0,2773.95,28.5,0.4,5.47,97.18,31.36,0
0,2515.09,26.9,0.42,6.23,93.56,32.19,0
0,2686.62,28.2,0.44,6.58,95.23,32.75,0
0,2954.15,30.9,0.41,6.66,95.75,33.43,0
0,3032.91,31.7,0.39,6.74,95.62,33.69,0
0,2613.8,27.2,0.51,6.85,96.09,34.44,0
0,2566.74,26.9,0.65,7.41,95.29,34.31,0
0,2611.16,26.1,0.58,7.7,100.2,35.06,0
0,2852.79,27.9,0.48,7.55,102.27,36.84,0
0,2474.64,24.4,0.65,7.61,101.39,37.15,0
0,2947.84,29.1,0.51,7.54,101.45,37.24,0
0,2272.54,22.7,0.66,7.67,100.21,37.25,0
0,2523.75,25.8,0.67,7.65,97.8,37.21,0
0,2829.04,28.1,0.65,7.28,100.62,38.8,0
0,2425.21,24.1,1.13,7.62,100.56,39.1,0
0,2908.24,26.2,1.39,8.45,110.89,41.6,0
0,2441.25,23.9,1.45,9.2,102.2,42.46,0
0,2341.87,26.8,1.44,6.58,87.49,39.6,0
0,2695.09,29.9,0.54,7.44,90.15,42.73,0
0,2556.92,27.8,0.46,7.07,91.94,45.54,0
0,2229.5,26.3,0.69,6.6,84.86,40.32,0
0,2429.55,27.8,0.76,7.15,87.49,40.25,0
0,1860.11,22.1,1.02,7.04,84.12,41.86,0
0,2382.29,27.4,0.65,8.19,86.83,44.24,0
99.66,2140.21,25.7,0.72,7.92,83.28,42.85,0
98.46,2218.19,26.4,0.8,9.47,83.92,40.35,0
100.4,2260.99,26.3,0.8,12.74,85.83,40.13,0
99.13,2135.04,25.7,0.76,13.56,83.19,38.15,3.52
103.92,1757.3,20.5,0.55,12.63,85.53,39.85,3.48
109.36,2229.9,24.5,0.29,11.18,91.13,40.19,4.44
113.02,2578.69,26.5,0.29,13.21,97.21,41.7,4.4
109.83,2104.73,22.8,0.49,9.64,92.13,36.53,4.35
100.56,1146.73,18.7,0.8,6.58,61.25,29.46,2.4
99.97,2001.37,24.2,0.63,12.44,82.55,40.11,4.6
101.96,1258.67,18.6,1.03,8.33,67.83,33.65,2.79
97.17,2349.43,28.9,0.49,9.97,81.22,35.54,4.92
94.47,2300.1,27.8,0.47,10.61,82.79,36.04,4.7
91.64,2341.6,29.9,0.54,12.74,78.31,33.46,4.76
88.69,2206.88,28.9,0.6,13.53,76.44,35.43,6.37
86.84,2414.45,31.2,0.74,14.28,77.4,38.16,6.02
88.82,2801.82,35.4,0.89,16.96,79.21,38.2,5.99
94.34,2668.49,32.6,1.08,14.9,81.91,38.91,6.89
95.48,2801.61,33,1.03,12.3,85,39.74,9.39
89.26,2577.45,33.1,1.23,10.45,77.93,41.74,6.32
88.9,2916.09,37.2,1.53,10.38,78.41,42.81,6.67
85.04,2108.32,28.6,2.16,10.96,73.8,37.86,5.48
85.52,3307.04,43,1.28,11.91,76.84,39.28,7.32
86.74,2946.21,38.2,1.24,9.87,77.11,37.79,6.6
82.86,2764.07,38.2,1.52,11.16,72.4,39.31,10.35
83.28,2628.94,36.9,1.66,9.42,71.19,35.23,8.54
82.23,2980.79,41.8,1.52,8.24,71.35,37.01,5.33
81.57,2881.8,40.7,1.48,8.68,70.74,37.54,6.3
82.19,2707.91,39.4,1.43,13.37,68.67,40.55,11.72
80.93,2872.96,42,1.35,14.52,68.46,39.03,12.89
77.83,3075.34,47.4,1.29,12.85,64.88,33.33,9.21
73.18,3045.36,48.3,1.11,14.87,63.07,34.07,19.68
73.35,3356.21,52.8,1.12,14.79,63.55,31.25,16.52
82.74,3824.6,53.1,1.05,14.87,72.09,27.76,15.41
81.43,3906.95,54.7,1,13.86,71.42,26.59,15.6
65.92,3597.8,62.4,1.1,12.81,57.63,23.89,10.99
65.02,3606.31,64.7,1.12,12.21,55.73,22.38,11.57
68.77,4019.24,67.9,1.11,11.24,59.23,21.31,13.33
65.82,3484.25,62.9,1.17,10.28,55.37,19.76,11.74
65.17,4102.87,74.1,1.16,9.17,55.39,18.52,13.03
66.35,4167.61,73.1,1.24,10.25,57,17.88,12.81
71.16,4860.37,80.1,1.03,9.23,60.69,16.11,14.99
65.13,4449.54,79.5,1.08,9.73,55.98,17.71,13.89
64.26,4687.06,85.9,1.16,9.56,54.57,17.97,13.44
66.86,4152.24,72.4,1.33,9.71,57.36,18.59,13.57
74.18,5646.26,88.1,1.08,10.1,64.12,15.71,16.14
67.13,5579.83,97,1.57,9.65,57.51,13.41,13.21
72.25,5670.71,91.3,2.55,10.3,62.14,13.77,15.7
77.94,4701.4,71.9,3.02,7.93,65.41,12.61,13.81
78.72,5840.76,86.4,2.54,8.62,67.63,13.04,15.4
84.59,6289.17,88,2.15,8.44,71.51,11.83,14.47
84.33,6505.04,90.8,2.02,9.73,71.61,13.49,13.8
81.68,7267.93,101,2.25,9.25,71.93,11.13,13.41
81.39,7928.14,109.5,2.52,7.53,72.4,9.68,12.9
84.04,6639.4,91,3.11,7.26,72.96,8.66,12.51
84.1,8118.65,108.9,2.5,9.04,74.52,9.41,13.68
81.86,8235.1,113.2,2.55,9.01,72.72,10.26,14.14
60.21,4174.25,81.1,3.21,9.72,51.48,9.06,10
80.52,7672.13,106.7,2.63,11.22,71.9,8.16,15.36
83.4,8875.45,118,2.23,11.59,75.21,8.15,16.78
76.58,8225.76,119.4,1.5,11.97,68.91,6.84,13.86
66.2,7131.3,119.8,1.94,9.96,59.51,6.89,10.53
67.72,4928.68,84.6,2.54,7.64,58.25,5.53,9.04
72.32,7531.95,116.3,2.36,8.31,64.78,6.88,11.1
74.17,7934.03,118.5,2.28,7.53,66.95,5.95,9.09
75.96,7474.77,108.6,2.37,8.41,68.82,4.82,9.87
79.31,9476.7,131.5,2.07,7.29,72.08,4.5,12.05
73.24,6337.73,100.7,2.5,6.75,62.93,3.8,8.92
78.92,10050.52,138.6,2.26,6.67,72.51,4.01,8.88
71.48,7400.05,113.5,3.24,6.28,65.21,2.95,8.25
79.23,9232.56,127.1,2.71,6.71,72.64,2.66,11.81
79.54,9206.83,126.7,2.43,6.2,72.67,2.81,9.16
80.17,9758.69,134.4,1.94,5.85,72.59,2.75,7.72
77.39,9430.61,133.8,1.82,4.57,70.49,2.45,8.54
79.55,9915.05,136.9,1.85,5.2,72.44,2.33,7.73
75.7,9502.58,138.2,1.97,4.27,68.77,1.91,8.58
78.89,8966.79,129.3,2.32,4.12,69.33,2.06,7.13
78.6,10087.29,142.2,2.42,4.73,70.94,2.22,7.8
80.93,11805.58,160.3,2.06,4.02,73.63,1.79,6.52
81.78,11112.19,147.9,2,3.27,75.12,1.82,5.74
78.33,10531.12,149.1,3.04,2.95,70.64,1.56,4.94
93.53,13037.88,150.7,4.2,3.5,86.52,1.5,6.79
85.98,12043.2,153.3,4.06,3.78,78.57,1.41,7.31
86.38,13067.16,164.4,3.55,3.11,79.49,1.34,5.5
88.19,12425.33,152.6,5.18,2.47,81.45,1.27,4.81
91.94,12313.96,146.8,6.22,2.24,83.88,0.88,3.95
97.29,10755.11,123.1,6.89,3.27,87.37,1.01,5
95.37,13828.96,158.1,4.46,3.04,87.45,1.01,6.59
90.6,14215.53,171,3.7,2.5,83.14,1.04,6.4
88,13601.2,168.44,3.61,3.16,80.75,1.28,7.85
94.49,15057.4,173.4,3.55,2.56,86.84,0.98,6.05
