Beginning_Stocks,Production,Imports,Total_supply,Food_alcohol_and_industrial_use,Seed_use,Feed_use,Domestic_disappearance,Exports,Total_disappearance,Ending_Stocks
558,5841,1.5,6400,501,20.1,3582,4103,1664,5767,633
633,6289,2.43,6925,522,20.1,3602,4144,1645,5789,1136
1136,6505,2.4,7643,562,19.5,3730,4311,1896,6207,1436
1436,7268,1.15,8705,589,19.5,4274,4882,2113,6995,1710
1710,7928,0.72,9638,620,20,4563,5203,2402,7604,2034
2034,6639,0.85,8675,639,20.2,4232,4891,2391,7282,1392
1392,8119,0.56,9511,714,19.4,4245,4978,1997,6975,2537
2537,8235,0.49,10772,840,14.5,4573,5428,1821,7249,3523
3523,4174,1.71,7699,911,19.1,3876,4806,1886,6693,1006
1006,7672,1.73,8680,1046,21.2,4115,5182,1850,7032,1648
1648,8875,9.9,10534,1133,19.5,4114,5267,1227,6494,4040
4040,8226,1.76,12267,1217,16.7,4659,5893,1492,7385,4882
4882,7131,3.41,12016,1234,17.2,4789,6041,1716,7757,4259
4259,4929,2.78,9191,1279,18.4,3934,5232,2028,7260,1930
1930,7532,1.9,9464,1351,18.9,4382,5753,2367,8120,1344
1344,7934,3.42,9282,1406,19.3,4609,6034,1727,7761,1521
1521,7475,19.64,9016,1513,20.2,4798,6331,1584,7915,1100
1100,9477,7.09,10584,1537,18.7,5252,6808,1663,8471,2113
2113,6338,20.82,8472,1593,20.1,4680,6293,1328,7621,850
850,10051,9.56,10910,1697,18.3,5460,7175,2177,9352,1558
1558,7400,16.49,8974,1608,21.9,4691,6321,2228,8548,426
426,9233,13.26,9672,1694,22.28,5275,6991,1797,8789,883
883,9207,8.81,10099,1816,23.05,5448,7287,1504,8791,1308
1308,9759,18.81,11085,1842,22.32,5450,7314,1984,9298,1787
1787,9431,14.74,11232,1915,23.14,5640,7578,1937,9515,1718
1718,9915,6.82,11639,1958,22.45,5819,7799,1941,9740,1899
1899,9503,10.14,11412,2042,23.61,5845,7911,1905,9815,1596
1596,8967,14.45,10578,2335,23.75,5545,7903,1588,9491,1087
1087,10087,14.08,11188,2528,24.16,5778,8330,1900,10230,958
958,11806,10.83,12775,2687,24.22,6132,8842,1818,10661,2114
2114,11112,8.81,13235,2999,23.65,6111,9134,2134,11268,1967
1967,10531,11.98,12510,3517,28.55,5535,9081,2125,11207,1304
1304,13038,20.02,14362,4420,26.55,5853,10300,2437,12737,1624
1624,12043,13.53,13681,5003,27.23,5128,10159,1849,12008,1673
1673,13067,8.34,14749,5939,27.76,5096,11062,1979,13041,1708
1708,12425,27.67,14161,6403,29.58,4770,11202,1831,13033,1128
1128,12314,29.37,13471,6400,30.99,4512,10943,1539,12482,989
989,10755,159.95,11904,6013,30.96,4309,10353,730,11083,821
821,13829,35.79,14686,6471,29.72,5033,11533,1921,13454,1232
1232,14216,31.64,15479,6538,29.26,5314,11881,1867,13748,1731
1731,13601,67.46,15400,6542,30.56,5192,11764,1898,13662,1738
1738,15057,50,16845,6621,28.8,5650,12300,2225,14525,2320
