Unit,Market,State,Grain,Breed,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
Bushel,"Minneapolis, MN",MN,Barley,No.3,0,3.52,3.13,2.27,2.38,2.87,3.64,3.06,2.53,2.84,2.55,2.24,1.89,2.04,4.11,3.28,2.42,2.38,2.37,2.48,2.75,3.69,3.18,2.5,2.3,0,2.37,2.44,3.48,2.85,2.46,2.7,3.77,6.14,5.69,3.58,5.39,7.39,6.97,5.95,6.5,4.95,
Bushel,"Minneapolis, MN",MN,Barley,No.2,0,2.38,2.35,1.68,1.8,2.16,2.6,2.21,1.76,2.48,2.09,1.53,1.44,1.78,2.32,2.2,2.13,2.17,2.11,2.05,2.02,2.67,2.29,1.91,0,0,1.47,1.52,1.89,1.83,1.74,1.7,2.6,4.86,3.38,2.24,3.67,5.21,5.32,3.89,2.74,2.52,
Bushel,"Portland, OR",OR,Barley,No.2,0,2.54,2.48,2.15,2.1,2.69,3.34,2.87,2.52,2.91,2.59,2.23,1.97,2.09,2.74,2.61,2.65,2.66,2.57,2.4,2.51,3.51,3.07,2.49,1.96,2.11,2.25,2.31,2.71,2.74,2.39,2.44,4.08,5.71,5.29,0,0,0,0,0,0,0,
Bushel,"Minneapolis, MN",MN,Oats,No.2,0,1.66,1.74,1.27,1.43,1.57,2.04,2.14,1.69,1.87,1.81,1.31,1.46,1.92,2.8,1.65,1.3,1.47,1.58,1.55,1.49,2.28,2.03,1.7,1.34,1.26,0,0,2.34,1.55,1.88,1.98,2.54,3.15,2.53,2.26,3.39,3.5,3.93,4.05,3.44,2.63,
Hundredweight,"Gulfports, LA",LA,Sorghum,No.2,0,4.99,4.22,4.12,4.56,5.43,6.27,5.03,5.41,5.77,4.9,4.07,3.22,3.96,4.81,4.76,4.65,4.86,4.27,4.9,4.62,7.19,5.03,4.76,3.97,3.79,4.22,4.34,5.01,5.45,4.42,5.04,7.39,9.81,7.19,7.74,11.92,12.33,12.66,9.53,9.1,8.07,
Hundredweight,"Plainview to Muleshoe, TX",TX,Sorghum,No.2,3.86,4.53,3.74,3.83,4.31,4.89,5.97,4.87,5.19,5.53,5.04,4.33,3.24,3.81,4.66,4.38,4.48,4.78,4.06,4.95,4.75,7.3,5.02,4.72,3.78,3.36,3.94,4.05,4.69,5.01,3.95,3.84,6.09,8.49,5.44,5.74,10.62,10.92,0,0,0,0,
Hundredweight,"Kansas City, MO",MO,Sorghum,No.2,0,4.5,3.61,3.49,3.92,4.54,5.48,4.29,4.8,5.22,4.46,3.72,2.73,3.4,4.17,4.21,4.08,4.36,3.74,4.37,4.1,6.66,4.55,4.11,3.29,3.1,3.41,3.65,4.34,4.57,3.37,3.57,5.75,8.38,5.79,5.75,11.04,11.3,11.98,7.79,6.94,5.93,
Bushel,Central IL,IL,Corn,No.2 yellow,0,2.61,2.22,2.06,2.3,2.55,3.24,2.46,2.71,3.33,2.65,2.22,1.51,2.03,2.57,2.46,2.34,2.45,2.12,2.54,2.34,3.91,2.74,2.45,1.97,1.86,1.88,2,2.34,2.52,1.93,2,3.33,4.79,3.68,3.45,6.33,6.6,7.03,4.31,3.53,3.56,
Bushel,"Gulfports, LA",LA,Corn,No.2 yellow,0,2.93,2.57,2.48,2.75,2.98,3.59,2.87,3.06,3.67,3,2.52,1.83,2.39,2.93,2.79,2.67,2.74,2.46,2.85,2.78,4.3,3.07,2.78,2.35,2.23,2.24,2.35,2.7,2.94,2.48,2.69,3.94,5.53,4.39,4.14,7.04,7.22,7.58,5.16,4.35,4.18,
Bushel,"Louis, MO",MO,Corn,No.2 yellow,0,2.72,2.34,2.21,2.46,2.69,3.4,2.63,2.87,3.49,2.81,2.37,1.68,2.19,2.72,2.58,2.49,2.54,2.25,2.67,2.51,4.06,2.9,2.6,2.17,2.02,2.01,2.15,2.49,2.73,2.13,2.19,3.6,5.05,3.88,3.69,6.5,6.95,6.94,4.91,3.82,3.8,
Bushel,"Omaha, NE",NE,Corn,No.2 yellow,0,2.69,2.22,2.06,2.24,2.44,3.17,2.48,2.73,3.23,2.65,2.25,1.53,1.98,2.49,2.41,2.28,2.36,2.1,2.56,2.33,3.87,2.7,2.36,1.88,1.8,1.82,1.95,2.29,2.5,1.82,1.88,3.33,4.84,3.8,3.49,6.29,6.65,7.2,4.35,3.6,3.49,
Bushel,"Chicago, IL",IL,Corn,No.2 yellow,0,2.77,2.39,2.23,2.48,2.75,3.44,2.62,2.81,3.46,2.79,2.35,1.64,2.14,2.68,2.54,2.41,2.52,2.22,2.68,2.43,3.97,2.84,2.56,2.06,1.97,1.99,2.13,2.46,2.66,2.08,2.1,3.46,4.98,3.89,3.64,6.38,6.73,7.17,4.47,3.76,3.75,
Bushel,"Kansas City, MO",MO,Corn,No.2 yellow,0,2.71,2.33,2.25,2.51,2.68,3.33,2.64,2.9,3.39,2.8,2.37,1.64,2.12,2.61,2.53,2.45,2.55,2.26,2.69,2.47,4.05,2.84,2.49,2.01,1.91,1.93,2.06,2.43,2.55,1.9,1.98,3.42,4.95,3.81,3.53,6.35,6.77,7.26,4.46,3.63,3.67,
Bushel,"Toledo, OH",OH,Corn,No.2 yellow,0,2.68,2.31,2.14,2.44,2.67,3.32,2.57,2.76,3.41,2.72,2.27,1.57,2.11,2.67,2.54,2.34,2.47,2.11,2.56,2.35,3.96,2.82,2.45,2,1.89,1.89,2.04,2.47,2.58,1.97,2,3.41,4.92,3.86,3.5,6.47,6.68,7.07,4.29,3.66,3.72,
Bushel,"Memphis, TN",TN,Corn,No.2 yellow,0,2.91,2.57,2.48,2.76,3.01,3.71,2.92,3.13,3.77,3.09,2.6,2,2.29,2.71,2.67,2.53,2.59,2.27,2.68,2.51,4.02,2.88,2.64,2.13,2.01,2.01,2.12,2.46,2.67,2.12,2.23,3.57,5.01,3.78,3.69,6.49,6.68,6.91,4.59,3.84,3.75,
Bushel,"Minneapolis, MN",MN,Corn,No.2 yellow,0,2.69,2.33,2.11,2.28,2.47,3.18,2.47,2.73,3.29,2.67,2.23,1.51,1.99,2.56,2.43,2.32,2.39,2.11,2.52,2.27,3.74,2.65,2.39,1.88,1.8,1.8,1.96,2.26,2.5,1.88,1.85,3.16,4.7,3.62,3.3,6.02,6.36,6.81,4.22,3.44,3.31,
