Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
-3.6565e+06,-6.5763e+06,-7.6385e+06,-5.9903e+06,-4.5956e+06,-7.3483e+06,-6.6375e+06,-5.0138e+06,-4.278e+06,-3.975e+06,-8.3649e+06,-3.3533e+06
-5.1957e+06,-5.8228e+06,-4.9802e+06,-2.1884e+06,-4.5075e+06,-4.9647e+06,-6.0458e+06,-2.5194e+06,-9.7352e+06,-2.4701e+06,-3.7044e+06,-7.5825e+06
-5.723e+06,-7.091e+06,-8.7719e+06,-4.8716e+06,-9.017e+06,-3.1477e+06,-4.1691e+06,-5.7493e+06,-7.3227e+06,-6.0781e+06,-8.081e+06,-2.2652e+06
-7.0637e+06,-3.7597e+06,-3.2397e+06,-1.7304e+06,-2.9766e+06,-5.1113e+06,-4.9038e+06,-2.363e+06,-2.2933e+06,-1.7239e+06,-7.0143e+06,-7.3584e+06
-7.5626e+06,-4.9441e+06,-3.0429e+06,-9.2204e+06,-1.126e+07,-1.449e+07,-1.5197e+07,-8.2563e+06,-7.9655e+06,-5.8845e+06,-7.0549e+06,-1.1116e+07
-8.9511e+06,-6.4045e+06,-6.3595e+06,-1.0847e+07,-1.2232e+07,-1.2144e+07,-1.0835e+07,-9.9334e+06,-2.9707e+06,-4.5307e+06,-5.3306e+06,-5.7822e+06
-1.3137e+07,-9.3336e+06,-5.2715e+06,-7.2849e+06,-1.0528e+07,-8.2759e+06,-6.4267e+06,-5.7284e+06,-5.9336e+06,-3.8473e+06,-2.9658e+06,-3.0827e+06
-1.9597e+06,-2.5014e+06,-2.3912e+06,-1.1929e+07,-1.5622e+07,-1.2166e+07,-1.2433e+07,-7.6928e+06,-8.5907e+06,-8.9918e+06,-9.4884e+06,-7.2311e+06
-6.0563e+06,-7.3471e+06,-6.1069e+06,-1.5663e+07,-1.2925e+07,-1.0478e+07,-1.3535e+07,-6.86e+06,-6.879e+06,-6.9233e+06,-5.9602e+06,-3.0463e+06
-7.9834e+06,-6.9258e+06,-1.3532e+07,-2.193e+07,-9.2205e+06,-6.4297e+06,-9.8048e+06,-6.854e+06,-6.6706e+06,-5.0052e+06,-8.9682e+06,-9.2984e+06
-8.0062e+06,-5.8095e+06,-8.6395e+06,-1.4621e+07,-8.9713e+06,-1.2136e+07,-7.5941e+06,-9.0382e+06,-7.6251e+06,-5.9113e+06,-7.9459e+06,-7.3665e+06
-3.7146e+06,-8.2882e+06,-1.0498e+07,-1.5769e+07,-1.3106e+07,-9.3374e+06,-7.2981e+06,-1.5535e+07,-7.2804e+06,-5.5622e+06,-5.8234e+06,-9.114e+06
-4.1188e+06,-1.0312e+07,-4.8702e+06,-1.9828e+07,-1.69e+07,-1.4018e+07,-7.302e+06,-9.0249e+06,-4.7296e+06,-5.9347e+06,-2.8643e+06,-6.1346e+06
-5.7809e+06,-2.7254e+06,-7.9425e+06,-1.5067e+07,-1.7995e+07,-1.0648e+07,-7.3259e+06,-1.1926e+07,-6.7079e+06,-6.0494e+06,-9.1769e+06,-5.8454e+06
-5.3445e+06,-5.5265e+06,-1.364e+07,-1.5347e+07,-1.023e+07,-5.8052e+06,-7.9624e+06,-7.6448e+06,-7.6963e+06,-8.7569e+06,-8.0625e+06,-6.6938e+06
-4.1285e+06,-8.5168e+06,-7.1759e+06,-5.8851e+06,-1.1527e+07,-1.2491e+07,-7.7698e+06,-1.0865e+07,-1.1105e+07,-1.025e+07,-9.6607e+06,-5.9266e+06
-9.9351e+06,-7.895e+06,-7.2396e+06,-6.4287e+06,-1.102e+07,-9.4348e+06,-1.6061e+07,-9.6296e+06,-7.0292e+06,-9.8476e+06,-1.0136e+07,-5.7781e+06
-6.363e+06,-8.9956e+06,-1.7169e+07,-1.4477e+07,-1.2381e+07,-1.2979e+07,-1.0169e+07,-9.115e+06,-6.89e+06,-1.0756e+07,-9.3308e+06,-7.9501e+06
-5.004e+06,-7.4724e+06,-1.3294e+07,-1.8945e+07,-1.6365e+07,-1.1892e+07,-1.1731e+07,-1.0991e+07,-9.3399e+06,-8.7419e+06,-1.752e+07,-1.0901e+07
-1.1953e+07,-1.1332e+07,-1.3762e+07,-1.4848e+07,-1.4912e+07,-1.0783e+07,-9.9472e+06,-9.4899e+06,-8.3016e+06,-9.0162e+06,-1.0817e+07,-8.9367e+06
-9.5106e+06,-1.1081e+07,-1.1561e+07,-8.9878e+06,-1.0217e+07,-7.5024e+06,-1.0458e+07,-9.6574e+06,-9.9256e+06,-1.2611e+07,-5.9976e+06,-7.8794e+06
-9.1528e+06,-1.0004e+07,-1.0382e+07,-1.0304e+07,-1.1147e+07,-8.2631e+06,-8.8658e+06,-8.0437e+06,-8.4863e+06,-7.7895e+06,-8.8936e+06,-7.5022e+06
