Beginning_Stocks,Production,Imports,Total_supply,Food_alcohol_and_industrial_use,Seed_use,Feed_use,Domestic_disappearance,Exports,Total_disappearance,Ending_Stocks
224,639,0.51,863,44,40.3,562,646,12.28,659,205
205,540,1.37,747,42,43.7,488,574,8.3,582,164
164,753,2.09,919,42,39.3,515,596,10,606,313
313,582,0.63,895,41,33.8,530,605,10.34,615,280
280,527,0.78,807,41,32.3,495,568,2.76,571,236
236,459,1.13,696,41,33,437,511,8.84,519,177
177,510,1.48,688,41,34.2,458,533,2.69,536,152
152,593,3.51,748,42,43.3,442,527,0.75,528,220
220,476,29.92,726,41,29.5,474,544,0.94,545,181
181,474,33.63,688,41,31.2,436,508,0.5,508,180
180,518,27.24,726,44,32.5,464,541,1.24,542,184
184,385,32.36,601,45,38,384,467,0.92,468,133
133,374,45.72,552,50,31.6,358,440,0.5,440,112
112,217,62.9,392,73,27.1,194,293,0.58,294,98
98,374,65.81,538,74,23.4,283,380,0.83,381,157
157,358,63.41,578,75,19.1,312,406,0.61,407,171
171,244,74.77,490,77,17.8,266,360,1.9,362,128
128,294,54.98,477,77,17.2,263,358,6.02,364,113
113,207,106.82,427,73,15,230,318,3,321,106
106,229,93.18,428,70,13.4,243,326,0.99,327,101
101,161,80.54,342,67,11.99,195,274,2.07,276,66
66,153,97.5,317,63,13.07,172,248,2.55,250,67
67,167,98.4,332,59,12.55,185,256,2.12,258,74
74,166,107.69,347,57,11.96,195,264,1.74,266,81
81,146,98.57,326,57,11.49,179,248,1.79,250,76
76,149,105.98,331,57,11.27,189,257,1.7,258,73
73,118,95.96,286,59,12.8,148,220,2.82,223,63
63,116,95.13,274,60,11.76,150,222,2.61,224,50
50,144,89.73,284,62,10.51,144,217,2.47,219,65
65,116,90.31,271,63,10.98,136,210,2.68,213,58
58,115,91.19,264,63,10.8,136,209,2.09,211,53
53,94,106.22,252,65,9.66,125,199,2.59,202,51
51,90,123.29,264,66,8.48,120,195,2.91,198,67
67,90,114.55,271,66,8.86,109,184,3.34,187,84
84,91,94.92,270,66,8.21,113,188,2.17,190,80
80,82,85.15,247,67,6.75,103,177,2.85,180,68
68,50,94.07,212,69,7.21,78,154,2.43,157,55
55,61,92.86,209,68,7.78,96,172,1.36,173,36
36,65,97.12,198,66,7.16,98,172,1.58,173,25
25,70,108.86,204,69,8.02,71,148,1.84,150,54
54,90,85.58,229,69,7.69,93,170,1.97,172,57
57,65,90,212,70,8,85,163,2,165,47
