plantedAcreage,production,yield,price,barley,corn,oats,sorghum
0,0,0,0,0.75,30.02,7.94,0
0,0,0,0,1.06,32.12,8.18,0
0,0,0,0,1.06,35.12,8.9,0
0,0,0,0,1.24,35.83,9.56,0
0,0,0,0,1.33,38.39,10.35,0
0,0,0,0,1.35,42,11.06,0
0,0,0,0,1.42,43.58,11.79,0
0,0,0,0,1.47,44.08,12.01,0
0,0,0,0,1.63,47.64,12.78,0
0,0,0,0,1.7,52.45,13.62,0
0,0,0,0,1.97,55.28,14.59,0
0,0,0,0,1.96,58.8,14.82,0
0,0,0,0,1.85,59.66,15.83,0
0,0,0,0,1.93,62.23,15.96,0
0,0,0,0,1.99,62.55,16.41,0
0,0,0,0,2.2,63.03,16.92,0
0,0,0,0,2.43,66.16,19.08,0
0,0,0,0,2.47,68.17,20.62,0
0,0,0,0,2.69,68.83,21.97,0
0,0,0,0,2.86,71.85,23.35,0
0,0,0,0,3.03,73.91,24.43,0
0,0,0,0,3.26,73.3,26.27,0
0,0,0,0,3.28,77.47,27.81,0
0,0,0,0,3.35,77.66,28.7,0
0,0,0,0,3.25,74.79,28.28,0
0,0,0,0,3.59,78.86,27.76,0
0,0,0,0,3.86,76.91,28.17,0
0,0,0,0,3.69,79.83,29.27,0
0,0,0,0,3.64,80.07,29.56,0
0,0,0,0,4.19,90.48,30.91,0
0,0,0,0,4.13,89.07,30.25,0
0,0,0,0,4.12,89.97,28.83,0
0,0,0,0,4.11,87.78,29.33,0
0,0,0,0,4.47,94.59,29.25,0
0,0,0,0,4.7,94.85,31.05,0
0,0,0,0,4.96,94.42,30.89,0
0,0,0,0,5.47,97.18,31.36,0
0,0,0,0,6.23,93.56,32.19,0
0,0,0,0,6.58,95.23,32.75,0
0,0,0,0,6.66,95.75,33.43,0
0,0,0,0,6.74,95.62,33.69,0
0,0,0,0,6.85,96.09,34.44,0
0,0,0,0,7.41,95.29,34.31,0
0,0,0,0,7.7,100.2,35.06,0
0,0,0,0,7.55,102.27,36.84,0
0,0,0,0,7.61,101.39,37.15,0
0,0,0,0,7.54,101.45,37.24,0
0,0,0,0,7.67,100.21,37.25,0
0,0,0,0,7.65,97.8,37.21,0
0,0,0,0,7.28,100.62,38.8,0
0,0,0,0,7.62,100.56,39.1,0
0,0,0,0,8.45,110.89,41.6,0
0,0,0,0,9.2,102.2,42.46,0
0,0,0,1.4,6.58,87.49,39.6,0
0,0,0,0.68,7.44,90.15,42.73,0
0,0,0,0.53,7.07,91.94,45.54,0
0,0,0,0.93,6.6,84.86,40.32,0
0,0,0,0.88,7.15,87.49,40.25,0
0,0,0,0.99,7.04,84.12,41.86,0
0,0,0,0.76,8.19,86.83,44.24,0
0,0,0,0.64,7.92,83.28,42.85,0
0,0,0,0.73,9.47,83.92,40.35,0
0,0,0,0.7,12.74,85.83,40.13,0
8.83,49.97,14.2,0.76,13.56,83.19,38.15,3.52
9.45,37.56,10.8,0.57,12.63,85.53,39.85,3.48
10.69,71.91,16.2,0.3,11.18,91.13,40.19,4.44
12.07,66.1,15,0.31,13.21,97.21,41.7,4.4
12.6,54.39,12.5,0.51,9.64,92.13,36.53,4.35
14.61,19.21,8,0.87,6.58,61.25,29.46,2.4
16.49,57.61,12.5,0.54,12.44,82.55,40.11,4.6
13.36,30.27,10.8,0.92,8.33,67.83,33.65,2.79
13,69.95,14.2,0.51,9.97,81.22,35.54,4.92
15.56,67.21,14.3,0.41,10.61,82.79,36.04,4.7
17.86,53.28,11.2,0.58,12.74,78.31,33.46,4.76
21.21,85.82,13.5,0.49,13.53,76.44,35.43,6.37
18.8,113.54,18.9,0.58,14.28,77.4,38.16,6.02
16.08,109.65,18.3,0.79,16.96,79.21,38.2,5.99
17.73,109.54,15.9,1.14,14.9,81.91,38.91,6.89
18.46,184.98,19.7,0.91,12.3,85,39.74,9.39
15.67,96.06,15.2,1.2,10.45,77.93,41.74,6.32
14.27,106.03,15.9,1.4,10.38,78.41,42.81,6.67
11.28,93.22,17,1.83,10.96,73.8,37.86,5.48
13.21,131.38,18,1.28,11.91,76.84,39.28,7.32
11.06,148.49,22.5,1.13,9.87,77.11,37.79,6.6
16.06,233.54,22.6,1.05,11.16,72.4,39.31,10.35
15.03,162.86,19.1,1.32,9.42,71.19,35.23,8.54
12.29,90.74,17,1.58,8.24,71.35,37.01,5.33
14.59,115.72,18.4,1.32,8.68,70.74,37.54,6.3
20.15,235.58,20.1,1.26,13.37,68.67,40.55,11.72
23.92,242.64,18.8,0.97,14.52,68.46,39.03,12.89
21.38,204.88,22.2,1.15,12.85,64.88,33.33,9.21
26.89,567.51,28.8,0.97,14.87,63.07,34.07,19.68
20.68,581.01,35.2,1,14.79,63.55,31.25,16.52
19.51,555.44,36.1,0.86,14.87,72.09,27.76,15.41
19.6,619.95,39.7,0.83,13.86,71.42,26.59,15.6
14.29,480.21,43.7,1.01,12.81,57.63,23.89,10.99
15.06,510.28,44.1,1.02,12.21,55.73,22.38,11.57
17.52,585.39,43.9,0.97,11.24,59.23,21.31,13.33
16.77,489.8,41.7,1.05,10.28,55.37,19.76,11.74
