Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
-3.7711e+07,-3.3729e+07,-2.2409e+07,-1.9613e+07,-3.3379e+07,-2.8182e+07,-3.1414e+07,-2.7544e+07,-2.219e+07,-1.2478e+07,-1.4443e+07,-2.3753e+07
-1.8207e+07,-1.77e+07,-2.0675e+07,-1.7623e+07,-1.6917e+07,-2.6675e+07,-2.9837e+07,-3.0389e+07,-1.6533e+07,-4.063e+06,-1.4562e+07,-1.9554e+07
-1.4661e+07,-1.646e+07,-1.5121e+07,-3.0158e+07,-3.5198e+07,-4.2851e+07,-3.4571e+07,-4.5426e+07,-2.5007e+07,-8.3004e+06,-9.3244e+06,-1.4349e+07
-2.3555e+07,-1.9464e+07,-1.3422e+07,-3.3459e+07,-3.3279e+07,-3.4732e+07,-3.2915e+07,-3.5484e+07,-1.8923e+07,-4.9333e+06,-1.2042e+07,-1.4879e+07
-1.4698e+07,-1.3646e+07,-1.0905e+07,-1.7373e+07,-1.9591e+07,-2.3443e+07,-2.7259e+07,-1.9398e+07,-1.7018e+07,-9.3601e+06,-1.2841e+07,-1.6029e+07
-2.2504e+07,-2.0518e+07,-2.1059e+07,-2.2149e+07,-2.0796e+07,-1.7984e+07,-1.8124e+07,-1.3634e+07,-2.2592e+07,-1.4943e+07,-1.2043e+07,-1.6339e+07
-2.4207e+07,-1.5884e+07,-1.3623e+07,-2.9005e+07,-2.2635e+07,-1.5128e+07,-1.7206e+07,-1.0706e+07,-8.238e+06,-9.3289e+06,-1.5786e+07,-1.6062e+07
-1.5703e+07,-1.8245e+07,-2.2207e+07,-1.9905e+07,-2.3212e+07,-1.5848e+07,-2.4725e+07,-2.1501e+07,-1.4755e+07,-6.6193e+06,-7.3682e+06,-1.5251e+07
-1.7638e+07,-1.5058e+07,-1.6747e+07,-2.3318e+07,-2.4327e+07,-3.555e+07,-2.3905e+07,-1.4989e+07,-1.6231e+07,-7.5089e+06,-8.957e+06,-7.843e+06
-1.0808e+07,-1.2634e+07,-1.7074e+07,-1.6805e+07,-1.9819e+07,-2.7048e+07,-2.0761e+07,-1.5029e+07,-1.5598e+07,-1.0059e+07,-1.6448e+07,-1.4594e+07
-2.2506e+07,-1.944e+07,-2.2926e+07,-2.6545e+07,-2.5344e+07,-2.4972e+07,-2.5915e+07,-1.8743e+07,-1.9076e+07,-1.0712e+07,-1.7302e+07,-2.1777e+07
