Beginning_Stocks,Production,Imports,Total_supply,Food_alcohol_and_industrial_use,Seed_use,Feed_use,Domestic_disappearance,Exports,Total_disappearance,Ending_Stocks
65,754,0,820,9,2.3,494,505,232,737,82
82,711,0,793,9,2,411,422,254,676,117
117,781,0.02,898,9,2,448,459,223,682,216
216,731,0,948,10,1.8,538,550,190,740,208
208,807,0,1015,10,2,495,508,330,837,178
178,579,0.01,757,9,2,323,334,293,627,130
130,876,0.02,1006,9,2,417,428,260,688,319
319,835,0.05,1154,8,1.8,495,505,210,715,439
439,488,0.14,927,8,2.3,385,395,244,639,288
288,866,0.12,1154,15,2,539,557,297,854,300
300,1120,0,1421,26,1.7,664,692,178,870,551
551,939,0.01,1490,5,1.6,541,548,198,747,743
743,731,0.01,1474,18,1.3,561,580,232,811,663
663,577,0.02,1239,16,1.5,472,490,310,800,440
440,615,0.23,1055,19,1.3,508,528,307,835,220
220,573,0.07,793,16,1.4,401,418,233,651,143
143,585,0.01,727,15,1.69,366,383,291,674,53
53,875,0.01,928,18,1.3,457,476,277,753,175
175,534,0.01,709,19,1.2,440,460,202,662,48
48,646,0.01,693,21,1.2,377,399,223,622,72
72,459,0.01,530,17,1.6,295,314,198,512,18
18,795,0.03,814,44,1.2,516,561,205,766,47
47,634,0.01,681,54,1.2,365,420,212,632,49
49,520,0.01,569,44,1.2,262,307,197,504,65
65,595,0,660,54,1.15,285,340,255,595,65
65,471,0,536,34,1.27,222,258,237,494,42
42,514,0,556,22,1.19,230,253,242,495,61
61,361,0.02,422,23,1.18,170,194,184,379,43
43,411,0,454,39,0.92,182,222,199,421,34
34,454,0.03,487,54,0.8,191,246,184,430,57
57,393,0,450,49,0.81,140,190,194,384,66
66,277,0.08,343,44,0.99,113,158,153,311,32
32,497,0.04,530,34,1.06,165,200,277,477,53
53,476,0.13,529,94,0.81,236,331,143,474,55
55,382,0.01,436,89,0.74,141,231,164,395,41
41,345,0.03,387,84,0.65,123,208,152,359,27
27,213,0.11,241,84,0.77,69,154,63,218,23
23,248,9.57,280,94,0.99,93,189,76,265,15
15,392,0.09,408,69,0.88,93,163,211,374,34
34,433,0.38,467,14,1.04,82,97,352,449,18
18,597,4.59,620,141,0.88,103,245,339,583,37
37,467,1,504,119,0.89,90,210,250,460,44
